#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2008 10 31 21 30 233  5.4 999 99.0 9999
2008 10 31 21 40 239  6.8 999 99.0 9999
2008 10 31 21 50 239  6.3 237  8.0 2133
2008 10 31 22 00 245  7.1 999 99.0 9999
2008 10 31 22 10 245  6.9 999 99.0 9999
2008 10 31 22 20 247  6.3 999 99.0 9999
2008 10 31 22 30 242  5.7 999 99.0 9999
2008 10 31 22 40 238  5.7 999 99.0 9999
2008 10 31 22 50 242  5.7 246  8.2 2200
2008 10 31 23 00 240  5.7 999 99.0 9999
2008 10 31 23 10 237  5.4 999 99.0 9999
2008 10 31 23 20 227  5.0 999 99.0 9999
2008 10 31 23 30 225  5.7 999 99.0 9999
2008 10 31 23 40 229  6.8 999 99.0 9999
2008 10 31 23 50 229  6.9 230  8.5 2339
2008 11 01 00 00 230  7.1 999 99.0 9999
2008 11 01 00 10 228  7.0 999 99.0 9999
2008 11 01 00 20 228  7.1 999 99.0 9999
2008 11 01 00 30 230  7.6 999 99.0 9999
2008 11 01 00 40 229  7.6 999 99.0 9999
2008 11 01 00 50 228  7.9 231  9.2 0047
2008 11 01 01 00 230  8.2 999 99.0 9999
2008 11 01 01 10 231  8.3 999 99.0 9999
2008 11 01 01 20 233  7.9 999 99.0 9999
2008 11 01 01 30 233  7.5 999 99.0 9999
2008 11 01 01 40 231  7.5 999 99.0 9999
2008 11 01 01 50 235  7.0 225  9.7 0107
2008 11 01 02 00 232  7.6 999 99.0 9999
2008 11 01 02 10 233  7.1 999 99.0 9999
2008 11 01 02 20 234  7.4 999 99.0 9999
2008 11 01 02 30 235  6.8 999 99.0 9999
2008 11 01 02 40 239  6.4 999 99.0 9999
2008 11 01 02 50 240  6.8 233  8.9 0158
2008 11 01 03 00 244  7.3 999 99.0 9999
2008 11 01 03 10 245  6.7 999 99.0 9999
2008 11 01 03 20 244  6.3 999 99.0 9999
2008 11 01 03 30 242  6.3 999 99.0 9999
2008 11 01 03 40 241  6.6 999 99.0 9999
2008 11 01 03 50 243  7.1 238  8.8 0253
2008 11 01 04 00 243  6.8 999 99.0 9999
2008 11 01 04 10 245  6.2 999 99.0 9999
2008 11 01 04 20 245  6.1 999 99.0 9999
2008 11 01 04 30 243  6.1 999 99.0 9999
2008 11 01 04 40 240  5.9 999 99.0 9999
2008 11 01 04 50 238  5.8 246  8.3 0354
2008 11 01 05 00 241  5.8 999 99.0 9999
2008 11 01 05 10 244  6.0 999 99.0 9999
2008 11 01 05 20 246  6.2 999 99.0 9999
2008 11 01 05 30 245  6.6 999 99.0 9999
2008 11 01 05 40 243  6.6 999 99.0 9999
2008 11 01 05 50 241  6.6 239  7.8 0540
2008 11 01 06 00 237  5.8 999 99.0 9999
2008 11 01 06 10 237  5.8 999 99.0 9999
2008 11 01 06 20 236  5.1 999 99.0 9999
2008 11 01 06 30 237  5.1 999 99.0 9999
2008 11 01 06 40 242  5.7 999 99.0 9999
2008 11 01 06 50 245  6.7 246  8.1 0646
2008 11 01 07 00 247  7.2 999 99.0 9999
2008 11 01 07 10 248  7.1 999 99.0 9999
2008 11 01 07 20 251  7.9 999 99.0 9999
2008 11 01 07 30 252  8.2 999 99.0 9999
2008 11 01 07 40 254  8.9 999 99.0 9999
2008 11 01 07 50 254  9.1 253 11.0 0748
2008 11 01 08 00 255  9.2 999 99.0 9999
2008 11 01 08 10 255  9.0 999 99.0 9999
2008 11 01 08 20 255  9.1 999 99.0 9999
2008 11 01 08 30 256  9.0 999 99.0 9999
2008 11 01 08 40 257  8.9 999 99.0 9999
2008 11 01 08 50 258  8.2 257 11.7 0800
2008 11 01 09 00 259  9.0 999 99.0 9999
2008 11 01 09 10 258  8.9 999 99.0 9999
2008 11 01 09 20 258  8.4 999 99.0 9999
2008 11 01 09 30 257  8.0 999 99.0 9999
2008 11 01 09 40 256  8.4 999 99.0 9999
2008 11 01 09 50 257  8.1 254 10.6 0900
2008 11 01 10 00 258  8.4 999 99.0 9999
2008 11 01 10 10 258  8.2 999 99.0 9999
2008 11 01 10 20 258  8.3 999 99.0 9999
2008 11 01 10 30 259  8.0 999 99.0 9999
2008 11 01 10 40 259  8.4 999 99.0 9999
2008 11 01 10 50 256  8.0 260 10.0 1024
2008 11 01 11 00 255  8.2 999 99.0 9999
2008 11 01 11 10 255  8.0 999 99.0 9999
2008 11 01 11 20 254  8.2 999 99.0 9999
2008 11 01 11 30 254  7.6 999 99.0 9999
2008 11 01 11 40 251  7.6 999 99.0 9999
2008 11 01 11 50 253  7.6 253 10.0 1101
2008 11 01 12 00 256  7.9 999 99.0 9999
2008 11 01 12 10 259  7.8 999 99.0 9999
2008 11 01 12 20 258  7.9 999 99.0 9999
2008 11 01 12 30 259  7.7 999 99.0 9999
2008 11 01 12 40 260  7.4 999 99.0 9999
2008 11 01 12 50 259  7.6 255  9.1 1209
2008 11 01 13 00 261  7.4 999 99.0 9999
2008 11 01 13 10 257  6.6 999 99.0 9999
2008 11 01 13 20 254  6.5 999 99.0 9999
2008 11 01 13 30 258  6.3 999 99.0 9999
2008 11 01 13 40 257  6.4 999 99.0 9999
2008 11 01 13 50 255  5.8 262  8.4 1253
2008 11 01 14 00 253  5.6 999 99.0 9999
2008 11 01 14 10 251  5.6 999 99.0 9999
2008 11 01 14 20 254  5.3 999 99.0 9999
2008 11 01 14 30 256  5.3 999 99.0 9999
2008 11 01 14 40 259  5.1 999 99.0 9999
2008 11 01 14 50 258  5.1 245  6.4 1401
2008 11 01 15 00 268  5.1 999 99.0 9999
2008 11 01 15 10 277  5.3 999 99.0 9999
2008 11 01 15 20 281  5.2 999 99.0 9999
2008 11 01 15 30 284  4.7 999 99.0 9999
2008 11 01 15 40 286  4.2 999 99.0 9999
2008 11 01 15 50 284  4.0 284  6.6 1510
2008 11 01 16 00 282  4.4 999 99.0 9999
2008 11 01 16 10 282  4.6 999 99.0 9999
2008 11 01 16 20 286  5.5 999 99.0 9999
2008 11 01 16 30 288  5.4 999 99.0 9999
2008 11 01 16 40 288  4.5 999 99.0 9999
2008 11 01 16 50 289  3.7 286  6.4 1625
2008 11 01 17 00 292  3.4 999 99.0 9999
2008 11 01 17 10 293  3.9 999 99.0 9999
2008 11 01 17 20 296  3.6 999 99.0 9999
2008 11 01 17 30 298  3.7 999 99.0 9999
2008 11 01 17 40 301  3.7 999 99.0 9999
2008 11 01 17 50 311  3.0 301  4.4 1729
2008 11 01 18 00 302  2.7 999 99.0 9999
2008 11 01 18 10 281  1.9 999 99.0 9999
2008 11 01 18 20 265  2.1 999 99.0 9999
2008 11 01 18 30 263  2.2 999 99.0 9999
2008 11 01 18 40 257  2.2 999 99.0 9999
2008 11 01 18 50 238  1.9 306  3.3 1751
2008 11 01 19 00 226  1.6 999 99.0 9999
2008 11 01 19 10 228  1.7 999 99.0 9999
2008 11 01 19 20 235  2.0 999 99.0 9999
2008 11 01 19 30 234  2.0 999 99.0 9999
2008 11 01 19 40 241  1.8 999 99.0 9999
2008 11 01 19 50 239  1.7 235  2.2 1928
2008 11 01 20 00 225  1.4 999 99.0 9999
2008 11 01 20 10 238  1.5 999 99.0 9999
2008 11 01 20 20 251  2.0 999 99.0 9999
2008 11 01 20 30 259  3.2 999 99.0 9999
2008 11 01 20 40 258  3.3 999 99.0 9999
2008 11 01 20 50 257  2.9 260  3.6 2034
2008 11 01 21 00 268  3.1 999 99.0 9999
2008 11 01 21 10 274  2.7 999 99.0 9999
2008 11 01 21 20 267  2.5 999 99.0 9999
2008 11 01 21 30 276  2.6 999 99.0 9999
2008 11 01 21 40 259  2.0 999 99.0 9999
2008 11 01 21 50 261  2.1 260  3.7 2053
2008 11 01 22 00 259  2.2 999 99.0 9999
2008 11 01 22 10 249  1.9 999 99.0 9999
2008 11 01 22 20 259  1.6 999 99.0 9999
2008 11 01 22 30 273  1.8 999 99.0 9999
2008 11 01 22 40 287  2.8 999 99.0 9999
2008 11 01 22 50 293  3.0 295  3.4 2150
2008 11 01 23 00 295  3.2 999 99.0 9999
2008 11 01 23 10 291  3.1 999 99.0 9999
2008 11 01 23 20 292  2.9 999 99.0 9999
2008 11 01 23 30 294  2.8 999 99.0 9999
2008 11 01 23 40 332  3.5 999 99.0 9999
2008 11 01 23 50 332  3.4 319  5.2 2337
2008 11 02 00 00 332  2.8 999 99.0 9999
2008 11 02 00 10 333  2.4 999 99.0 9999
2008 11 02 00 20 336  2.6 999 99.0 9999
2008 11 02 00 30 338  2.9 999 99.0 9999
2008 11 02 00 40 344  2.7 999 99.0 9999
2008 11 02 00 50 354  2.8 338  3.6 0022
2008 11 02 01 00 358  3.0 999 99.0 9999
